time_elapsed_sec,P_x,P_y,B_x,B_y,R@1_x,R@1_y,R@2_x,R@2_y,R@3_x,R@3_y,1B_x,1B_y,2B_x,2B_y,3B_x,3B_y,SS_x,SS_y,LF_x,LF_y,CF_x,CF_y,RF_x,RF_y,C_x,C_y,BALL_x,BALL_y
0.0,-1.0465815337218498,62.270996875440574,-2.254164271862267,-2.9384709841419783,,,,,,,,,,,-73.101,89.73,-57.654,136.056,-135.759,258.072,-11.362,316.787,140.335,260.382,-2.254164271862267,-6.561219198563231,,
0.033,,,,,,,,,,,,,,,-73.134,89.633,-57.686,136.024,-135.727,258.105,-11.427,316.788,140.335,260.317,,,,
0.066999,,,,,,,,,,,,,,,-73.133,89.567,-57.686,136.024,-135.727,258.105,-11.427,316.788,140.368,260.284,,,,
0.1,,,,,,,,,,,,,,,-73.198,89.502,-57.686,135.959,-135.661,258.105,-11.427,316.788,140.401,260.251,,,,
0.132999,,,,,,,,,,,,,,,-73.198,89.437,-57.686,135.959,-135.661,258.105,-11.427,316.788,140.401,260.186,,,,
0.166999,,,,,,,,,,,,,,,-73.198,89.372,-57.719,135.926,-135.629,258.137,-11.395,316.82,140.434,260.153,,,,
0.2,,,,,,,,,,,,,,,-73.23,89.34,-57.719,135.926,-135.596,258.104,-11.395,316.82,140.467,260.055,,,,
0.232999,,,,,,,,,,,,,,,-73.198,89.307,-57.751,135.894,-135.596,258.104,-11.395,316.82,140.532,259.99,,,,
0.267,,,,,,,,,,,,,,,-73.197,89.242,-57.718,135.861,-135.531,258.104,-11.362,316.853,140.532,259.925,,,,
0.3,,,,,,,,,,,,,,,-73.197,89.242,-57.718,135.861,-135.498,258.071,-11.329,316.82,140.598,259.859,,,,
0.334,,,,,,,,,,,,,,,-73.197,89.177,-57.718,135.861,-135.466,258.039,-11.329,316.82,140.663,259.794,,,,
0.366999,,,,,,,,,,,,,,,-73.164,89.144,-57.751,135.829,-135.466,258.039,-11.264,316.82,140.663,259.729,,,,
0.4,,,,,,,,,,,,,,,-73.132,89.111,-57.751,135.829,-135.433,258.006,-11.264,316.82,140.696,259.696,,,,
0.434,,,,,,,,,,,,,,,-73.132,89.111,-57.751,135.829,-135.368,257.94,-11.232,316.852,140.729,259.598,,,,
0.467,,,,,,,,,,,,,,,-73.132,89.046,-57.718,135.796,-135.335,257.908,-11.199,316.819,140.762,259.565,,,,
0.5,,,,,,,,,,,,,,,-73.099,89.013,-57.686,135.828,-135.302,257.875,-11.199,316.819,140.794,259.533,,,,
0.534,,,,,,,,,,,,,,,-73.066,88.98,-57.686,135.828,-135.269,257.842,-11.199,316.819,140.827,259.5,,,,
0.566999,,,,,,,,,,,,,,,-73.033,88.948,-57.686,135.828,-135.204,257.777,-11.166,316.787,140.795,259.467,,,,
