1B_x;1B_y;2B_x;2B_y;3B_x;3B_y;BALL_x;BALL_y;B_x;B_y;CF_x;CF_y;C_x;C_y;LF_x;LF_y;P_x;P_y;R@1_x;R@1_y;R@2_x;R@2_y;R@3_x;R@3_y;RF_x;RF_y;SS_x;SS_y;time_elapsed_sec
64.002;95.011;;;-73.101;89.73;;;-2.7359999999999998;-0.642;-11.362;316.787;-0.9560000000000001;-6.189;-135.759;258.072;1.059;59.676;;;;;;;140.335;260.382;-57.654;136.056;-3.003
63.904;94.979;;;-73.134;89.633;;;-2.7359999999999998;-0.642;-11.427;316.788;-0.9560000000000001;-6.189;-135.727;258.105;1.059;59.676;;;;;;;140.335;260.317;-57.686;136.024;-2.9699999999999998
63.807;95.012;;;-73.133;89.567;;;-2.7359999999999998;-0.642;-11.427;316.788;-0.923;-6.157;-135.727;258.105;1.059;59.676;;;;;;;140.368;260.284;-57.686;136.024;-2.936001
63.709;95.045;;;-73.198;89.502;;;-2.7359999999999998;-0.642;-11.427;316.788;-0.923;-6.157;-135.661;258.105;1.059;59.676;;;;;;;140.401;260.251;-57.686;135.959;-2.903
63.611;95.078;;;-73.198;89.437;;;-2.7030000000000003;-0.61;-11.427;316.788;-0.924;-6.092;-135.661;258.105;1.059;59.676;;;;;;;140.401;260.186;-57.686;135.959;-2.870001
63.545;95.143;;;-73.198;89.372;;;-2.7030000000000003;-0.61;-11.395;316.82;-0.924;-6.092;-135.629;258.137;1.059;59.676;;;;;;;140.434;260.153;-57.719;135.926;-2.836001
63.447;95.176;;;-73.23;89.34;;;-2.7030000000000003;-0.61;-11.395;316.82;-0.891;-6.059;-135.596;258.104;1.059;59.676;;;;;;;140.467;260.055;-57.719;135.926;-2.803
63.382;95.242;;;-73.198;89.307;;;-2.7030000000000003;-0.61;-11.395;316.82;-0.891;-6.059;-135.596;258.104;1.059;59.676;;;;;;;140.532;259.99;-57.751;135.894;-2.7700009999999997
63.284;95.275;;;-73.197;89.242;;;-2.7030000000000003;-0.61;-11.362;316.853;-0.859;-6.027;-135.531;258.104;1.059;59.676;;;;;;;140.532;259.925;-57.718;135.861;-2.7359999999999998
63.219;95.34;;;-73.197;89.242;;;-2.7030000000000003;-0.61;-11.329;316.82;-0.859;-6.027;-135.498;258.071;1.059;59.676;;;;;;;140.598;259.859;-57.718;135.861;-2.7030000000000003
63.153;95.406;;;-73.197;89.177;;;-2.7030000000000003;-0.61;-11.329;316.82;-0.8260000000000001;-5.994;-135.466;258.039;1.059;59.676;;;;;;;140.663;259.794;-57.718;135.861;-2.669
63.121;95.438;;;-73.164;89.144;;;-2.7030000000000003;-0.61;-11.264;316.82;-0.8260000000000001;-5.994;-135.466;258.039;1.059;59.676;;;;;;;140.663;259.729;-57.751;135.829;-2.636001
63.088;95.471;;;-73.132;89.111;;;-2.7030000000000003;-0.61;-11.264;316.82;-0.8260000000000001;-5.994;-135.433;258.006;1.059;59.676;;;;;;;140.696;259.696;-57.751;135.829;-2.6029999999999998
63.055;95.504;;;-73.132;89.111;;;-2.7030000000000003;-0.61;-11.232;316.852;-0.794;-5.962;-135.368;257.94;1.059;59.676;;;;;;;140.729;259.598;-57.751;135.829;-2.569
63.022;95.536;;;-73.132;89.046;;;-2.7030000000000003;-0.61;-11.199;316.819;-0.794;-5.962;-135.335;257.908;1.059;59.676;;;;;;;140.762;259.565;-57.718;135.796;-2.536
62.99;95.569;;;-73.099;89.013;;;-2.7030000000000003;-0.61;-11.199;316.819;-0.794;-5.962;-135.302;257.875;1.059;59.676;;;;;;;140.794;259.533;-57.686;135.828;-2.503
62.99;95.569;;;-73.066;88.98;;;-2.7030000000000003;-0.61;-11.199;316.819;-0.794;-5.962;-135.269;257.842;1.059;59.676;;;;;;;140.827;259.5;-57.686;135.828;-2.469
62.99;95.569;;;-73.033;88.948;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.794;-5.962;-135.204;257.777;1.059;59.676;;;;;;;140.795;259.467;-57.686;135.828;-2.436001
63.022;95.602;;;-72.936;88.915;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.8260000000000001;-5.994;-135.171;257.744;1.059;59.676;;;;;;;140.827;259.435;-57.653;135.861;-2.403
63.022;95.602;;;-72.903;88.882;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.8260000000000001;-5.994;-135.106;257.679;1.059;59.676;;;;;;;140.827;259.435;-57.653;135.861;-2.3689999999999998
63.055;95.569;;;-72.87;88.849;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.8260000000000001;-5.994;-135.073;257.646;1.059;59.676;;;;;;;140.827;259.435;-57.621;135.893;-2.336001
63.055;95.569;;;-72.805;88.784;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.859;-6.027;-135.008;257.581;1.059;59.676;;;;;;;140.86;259.402;-57.653;135.926;-2.302
63.088;95.536;;;-72.772;88.751;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.859;-6.027;-134.942;257.515;1.059;59.676;;;;;;;140.86;259.402;-57.621;135.958;-2.269
63.153;95.536;;;-72.707;88.686;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.891;-6.059;-134.942;257.45;1.059;59.676;;;;;;;140.827;259.435;-57.621;135.958;-2.236
63.153;95.536;;;-72.674;88.653;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.891;-6.059;-134.877;257.385;1.059;59.676;;;;;;;140.827;259.435;-57.588;135.991;-2.202
63.186;95.503;;;-72.608;88.588;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.924;-6.092;-134.811;257.319;1.059;59.676;;;;;;;140.827;259.435;-57.588;135.991;-2.169
63.218;95.471;;;-72.543;88.522;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.924;-6.092;-134.746;257.254;1.059;59.676;;;;;;;140.86;259.467;-57.556;136.023;-2.136001
63.218;95.471;;;-72.478;88.457;;;-2.7030000000000003;-0.61;-11.166;316.787;-0.924;-6.092;-134.713;257.221;1.059;59.676;;;;;;;140.827;259.5;-57.523;136.056;-2.102
63.251;95.438;;;-72.445;88.424;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.9560000000000001;-6.124;-134.68;257.123;1.059;59.676;;;;;;;140.827;259.5;-57.523;136.056;-2.069
63.284;95.405;;;-72.379;88.359;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.615;257.058;1.059;59.676;;;;;;;140.827;259.5;-57.491;136.088;-2.036
63.284;95.405;;;-72.346;88.261;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.549;256.992;1.059;59.676;;;;;;;140.794;259.533;-57.524;136.121;-2.002
63.284;95.405;;;-72.314;88.228;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.517;256.96;1.059;59.676;;;;;;;140.794;259.533;-57.524;136.121;-1.9689999999999999
63.316;95.372;;;-72.281;88.13;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.484;256.862;1.059;59.676;;;;;;;140.794;259.533;-57.491;136.154;-1.935001
63.316;95.372;;;-72.248;88.098;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.451;256.829;1.059;59.676;;;;;;;140.762;259.565;-57.491;136.154;-1.9020000000000001
63.316;95.372;;;-72.215;88.0;;;-2.7030000000000003;-0.61;-11.199;316.754;-0.923;-6.157;-134.418;256.731;1.059;59.676;;;;;;;140.762;259.565;-57.459;136.186;-1.869
63.316;95.372;;;-72.182;87.967;;;-2.7030000000000003;-0.61;-11.231;316.787;-0.891;-6.19;-134.385;256.698;1.059;59.676;;;;;;;140.762;259.565;-57.426;136.153;-1.835
63.316;95.372;;;-72.15;87.869;;;-2.7030000000000003;-0.61;-11.231;316.787;-0.858;-6.157;-134.32;256.633;1.059;59.676;;;;;;;140.762;259.565;-57.426;136.153;-1.802
63.284;95.34;;;-72.149;87.804;;;-2.67;-0.642;-11.231;316.787;-0.858;-6.157;-134.32;256.568;1.059;59.676;;;;;;;140.729;259.598;-57.426;136.153;-1.7690000000000001
63.284;95.34;;;-72.149;87.739;;;-2.67;-0.642;-11.231;316.787;-0.858;-6.157;-134.287;256.535;1.059;59.676;;;;;;;140.729;259.598;-57.393;136.186;-1.735001
63.284;95.34;;;-72.149;87.673;;;-2.67;-0.642;-11.231;316.787;-0.8260000000000001;-6.125;-134.287;256.47;1.059;59.676;;;;;;;140.729;259.598;-57.393;136.186;-1.702
63.251;95.373;;;-72.149;87.608;;;-2.67;-0.642;-11.231;316.787;-0.8260000000000001;-6.125;-134.254;256.437;1.059;59.676;;;;;;;140.729;259.598;-57.393;136.186;-1.6680000000000001
63.251;95.373;;;-72.116;87.576;;;-2.67;-0.642;-11.231;316.787;-0.793;-6.092;-134.221;256.405;1.059;59.676;;;;;;;140.729;259.598;-57.393;136.186;-1.635001
63.219;95.34;;;-72.116;87.51;;;-2.67;-0.642;-11.231;316.787;-0.76;-6.125;-134.189;256.372;1.059;59.676;;;;;;;140.729;259.598;-57.393;136.186;-1.6019999999999999
63.219;95.34;;;-72.115;87.445;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.092;-134.221;256.339;1.091;59.708;;;;;;;140.729;259.598;-57.393;136.186;-1.568
63.219;95.34;;;-72.115;87.38;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.092;-134.188;256.307;1.091;59.708;;;;;;;140.729;259.598;-57.361;136.218;-1.5350000000000001
63.186;95.373;;;-72.147;87.282;;;-2.67;-0.642;-11.231;316.787;-0.761;-6.06;-134.188;256.307;1.091;59.708;;;;;;;140.729;259.533;-57.361;136.218;-1.502
63.186;95.373;;;-72.18;87.25;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.027;-134.188;256.307;1.091;59.708;;;;;;;140.729;259.533;-57.361;136.218;-1.468
63.186;95.373;;;-72.18;87.185;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.027;-134.156;256.274;1.091;59.708;;;;;;;140.729;259.533;-57.361;136.218;-1.435001
63.186;95.373;;;-72.179;87.119;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.027;-134.156;256.274;1.091;59.708;;;;;;;140.729;259.533;-57.328;136.186;-1.4020000000000001
63.186;95.373;;;-72.212;87.087;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.027;-134.123;256.306;1.091;59.708;;;;;;;140.729;259.533;-57.361;136.153;-1.3679999999999999
63.186;95.373;;;-72.212;87.022;;;-2.67;-0.642;-11.231;316.787;-0.728;-6.027;-134.123;256.306;1.059;59.741;;;;;;;140.729;259.533;-57.393;136.186;-1.335
63.154;95.34;;;-72.244;86.989;;;-2.67;-0.642;-11.231;316.787;-0.761;-5.995;-134.123;256.306;1.059;59.741;;;;;;;140.729;259.533;-57.393;136.186;-1.301
63.154;95.34;;;-72.277;86.957;;;-2.67;-0.642;-11.231;316.787;-0.793;-6.027;-134.123;256.306;1.059;59.741;;;;;;;140.729;259.533;-57.393;136.186;-1.268
63.154;95.34;;;-72.244;86.924;;;-2.67;-0.642;-11.231;316.787;-0.793;-6.027;-134.123;256.306;1.026;59.773;;;;;;;140.729;259.533;-57.393;136.186;-1.235001
63.186;95.373;;;-72.276;86.892;;;-2.67;-0.642;-11.231;316.787;-0.793;-6.027;-134.123;256.372;1.026;59.773;;;;;;;140.762;259.565;-57.361;136.153;-1.201
63.186;95.373;;;-72.309;86.859;;;-2.67;-0.642;-11.231;316.787;-0.793;-6.027;-134.123;256.372;1.026;59.839;;;;;;;140.762;259.565;-57.361;136.153;-1.168
63.186;95.373;;;-72.309;86.794;;;-2.67;-0.642;-11.231;316.787;-0.859;-6.027;-134.123;256.372;1.026;59.839;;;;;;;140.762;259.565;-57.393;136.121;-1.135001
63.153;95.406;;;-72.309;86.794;;;-2.67;-0.642;-11.231;316.787;-0.859;-6.027;-134.123;256.372;0.993;59.871;;;;;;;140.794;259.533;-57.393;136.121;-1.101
63.153;95.406;;;-72.341;86.762;;;-2.67;-0.642;-11.231;316.787;-0.859;-6.027;-134.091;256.404;0.993;59.871;;;;;;;140.794;259.533;-57.393;136.121;-1.068
63.153;95.406;;;-72.341;86.762;;;-2.67;-0.642;-11.231;316.787;-0.859;-6.027;-134.091;256.404;0.96;59.904;;;;;;;140.794;259.533;-57.393;136.121;-1.035
63.153;95.406;;;-72.374;86.729;;;-2.67;-0.642;-11.231;316.787;-0.891;-6.059;-134.091;256.404;0.927;59.937;;;;;;;140.794;259.533;-57.393;136.055;-1.001
63.153;95.406;;;-72.374;86.729;;;-2.67;-0.642;-11.231;316.787;-0.891;-6.059;-134.124;256.437;0.927;59.937;;;;;;;140.794;259.533;-57.393;136.055;-0.968
63.153;95.406;;;-72.374;86.729;;;-2.67;-0.642;-11.231;316.787;-0.891;-6.059;-134.124;256.437;0.895;59.969;;;;;;;140.794;259.533;-57.36;136.023;-0.934
63.153;95.406;;;-72.374;86.729;;;-2.638;-0.61;-11.231;316.787;-0.891;-6.059;-134.091;256.469;0.927;60.002;;;;;;;140.794;259.533;-57.393;135.99;-0.901
63.153;95.406;;;-72.374;86.729;;;-2.638;-0.61;-11.231;316.787;-0.891;-6.059;-134.091;256.469;0.895;60.035;;;;;;;140.794;259.533;-57.36;135.957;-0.868
63.153;95.406;;;-72.308;86.729;;;-2.638;-0.61;-11.231;316.787;-0.891;-6.059;-134.091;256.469;0.895;60.035;;;;;;;140.794;259.533;-57.393;135.925;-0.834
63.153;95.406;;;-72.308;86.729;;;-2.638;-0.61;-11.231;316.787;-0.891;-6.059;-134.091;256.469;0.862;60.002;;;;;;;140.794;259.533;-57.36;135.892;-0.801
63.153;95.406;;;-72.276;86.761;;;-2.638;-0.61;-11.231;316.787;-0.891;-6.059;-134.059;256.502;0.862;60.002;;;;;;;140.794;259.533;-57.36;135.827;-0.768
